import_country,export_country,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,common_language,both_in_EU,both_in_EFTA,distance
1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.0
1,2,-4.072313487655581,-4.072313487655581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11883.0
1,3,-5.047179320548146,-5.047179320548146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6402.0
1,4,-5.208378470788961,-5.208378470788961,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10872.0
1,5,-5.766238479094524,-5.766238479094524,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11771.0
1,6,-5.954429052963542,-5.954429052963542,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5585.0
1,7,-6.285691793563077,-6.285691793563077,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5852.0
1,8,-5.926684621623529,-5.926684621623529,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6907.0
1,9,-6.629933030317527,-6.629933030317527,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7658.0
1,10,-4.127009239486266,-4.127009239486266,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,556.0
1,11,-4.030804653208569,-4.030804653208569,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3359.0
1,12,-7.569469089030696,-7.569469089030696,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16672.0
1,13,-5.390262672723392,-5.390262672723392,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11077.0
1,14,-7.081948419438591,-7.081948419438591,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5782.0
1,15,-6.883063635585267,-6.883063635585267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16181.0
1,16,-6.915391803621197,-6.915391803621197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5877.0
1,17,-7.453767809931375,-7.453767809931375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8087.0
1,18,-7.348140789525269,-7.348140789525269,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10532.0
